Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
69:1	qeur		rc://*/ta/man/translate/figs-imperative	הוֹשִׁיעֵ֥⁠נִי	1	This is an imperative, but it communicates a polite request rather than a command. If the imperative does not communicate a polite request for your readers, then use a form in your language that communicates a polite request. It may be helpful to add an expression such as “please” to make this clear. Alternate translation: [Please save me]
69:1	v45x		rc://*/ta/man/translate/figs-metaphor	בָ֖אוּ מַ֣יִם עַד־נָֽפֶשׁ	1	David is speaking of his danger as if it were **waters** that had come up and were threatening his **life**. If this image communicates well in your language, please use it. If not, you could state the meaning plainly. Alternate translation: [my troubles have threatened my life]
69:1	vd63		rc://*/ta/man/translate/figs-abstractnouns	נָֽפֶשׁ	1	If your language does not use an abstract noun for the idea of **life**, you could express the same idea in another way. Alternate translation: [neck]
69:2	pngk		rc://*/ta/man/translate/figs-metaphor	טָבַ֤עְתִּי ׀ בִּ⁠יוֵ֣ן מְ֭צוּלָה	1	David is speaking of his distress as if he had **sunk in mire of depth**. If this image communicates well in your language, please use it. If not, you could state the meaning plainly. Alternate translation: [I am overwhelmed by my troubles]
69:2	j4bn		rc://*/ta/man/translate/figs-abstractnouns	מְ֭צוּלָה	1	If your language does not use an abstract noun for the idea of **depth**, you could express the same idea in another way. Alternate translation: [deep places]
69:2	nfez		rc://*/ta/man/translate/figs-ellipsis	וְ⁠אֵ֣ין מָעֳמָ֑ד	1	David is leaving out some of the words that in many languages a sentence would need in order to be complete. You can supply these words from the context if that would be clearer in your language. Alternate translation: [and there is no place for me to stand]
69:2	nsvn		rc://*/ta/man/translate/figs-metaphor	בָּ֥אתִי בְ⁠מַעֲמַקֵּי־מַ֝֗יִם וְ⁠שִׁבֹּ֥לֶת שְׁטָפָֽתְ⁠נִי	1	David is speaking of his danger as if he had **come into depths of waters** and **a flood** were overwhelming him. If this image communicates well in your language, please use it. If not, you could state the meaning plainly. Alternate translation: [I am in overwhelming danger … my troubles overwhelm me]
69:3	opt8		rc://*/ta/man/translate/figs-ellipsis	יָגַ֣עְתִּי בְ⁠קָרְאִ⁠י֮	1	David is leaving out some of the words that in many languages a sentence would need in order to be complete. You can supply these words from the context if that would be clearer in your language. Alternate translation: [I am weary from my calling out]
69:3	a59j		rc://*/ta/man/translate/figs-metonymy	נִחַ֪ר גְּר֫וֹנִ֥⁠י	1	Here, **my throat is parched** represents David being exhausted from calling out to God. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [I am exhausted from calling out]
69:3	q99e		rc://*/ta/man/translate/figs-metonymy	כָּל֥וּ עֵינַ֑⁠י	1	David says **My eyes fail** to represent his losing strength and hope as he watches for God to act. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [My strength fails]
69:4	fevq		rc://*/ta/man/translate/figs-hyperbole	רַבּ֤וּ ׀ מִ⁠שַּׂעֲר֣וֹת רֹאשִׁ⁠י֮	1	David says **more than the hairs of my head** as an extreme statement for emphasis. If it would be helpful in your language, you could use a different way to express the emphasis. Alternate translation: [too many to count]
69:4	vel4		rc://*/ta/man/translate/figs-abstractnouns	שֶׁ֑קֶר	1	If your language does not use an abstract noun for the idea of **falsehood**, you could express the same idea in another way. Alternate translation: [lies]
69:4	jvsq		rc://*/ta/man/translate/figs-ellipsis	אֲשֶׁ֥ר לֹא־גָ֝זַ֗לְתִּי אָ֣ז אָשִֽׁיב	1	David is leaving out some of the words that in many languages a sentence would need in order to be complete. You can supply these words from the context if that would be clearer in your language. Alternate translation: [What I did not steal, yet they demand that I must restore]
69:5	jb8b		rc://*/ta/man/translate/figs-abstractnouns	לְ⁠אִוַּלְתִּ֑⁠י & וְ֝⁠אַשְׁמוֹתַ֗⁠י	1	If your language does not use abstract nouns for the ideas of **foolishness** and **sins**, you could express the same ideas in other ways. Alternate translation: [foolish deeds … sinful deeds]
